,context,next_token,metric_value
51,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
52,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
53,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
54,"['assistant', 'Ċ', '<']",['assistant'],-0.0
55,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
56,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
57,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
58,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
59,"['assistant', 'Ċ', '<']",['assistant'],-0.0
60,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
61,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
62,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
63,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
64,"['assistant', 'Ċ', '<']",['assistant'],-0.0
65,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
66,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
67,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
68,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
69,"['assistant', 'Ċ', '<']",['assistant'],-0.0
70,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
71,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
72,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
73,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
74,"['assistant', 'Ċ', '<']",['assistant'],-0.0
75,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
76,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
77,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
78,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
79,"['assistant', 'Ċ', '<']",['assistant'],-0.0
80,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
81,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
82,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
83,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
84,"['assistant', 'Ċ', '<']",['assistant'],-0.0
85,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
86,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
87,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
88,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
89,"['assistant', 'Ċ', '<']",['assistant'],-0.0
90,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
91,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
92,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
93,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
94,"['assistant', 'Ċ', '<']",['assistant'],-0.0
95,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
96,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
97,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
98,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
99,"['assistant', 'Ċ', '<']",['assistant'],-0.0
100,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
101,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
102,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
103,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
104,"['assistant', 'Ċ', '<']",['assistant'],-0.0
105,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
106,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
107,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
108,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
109,"['assistant', 'Ċ', '<']",['assistant'],-0.0
110,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
111,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
112,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
113,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
114,"['assistant', 'Ċ', '<']",['assistant'],-0.0
115,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
116,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
117,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
118,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
119,"['assistant', 'Ċ', '<']",['assistant'],-0.0
120,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
121,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
122,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
123,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
124,"['assistant', 'Ċ', '<']",['assistant'],-0.0
125,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
126,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
127,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
128,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
129,"['assistant', 'Ċ', '<']",['assistant'],-0.0
130,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
131,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
132,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
133,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
134,"['assistant', 'Ċ', '<']",['assistant'],-0.0
135,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
136,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
137,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
138,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
139,"['assistant', 'Ċ', '<']",['assistant'],-0.0
140,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
141,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
142,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
143,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
144,"['assistant', 'Ċ', '<']",['assistant'],-0.0
145,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
146,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
147,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
148,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
149,"['assistant', 'Ċ', '<']",['assistant'],-0.0
150,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
151,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
152,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
153,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
154,"['assistant', 'Ċ', '<']",['assistant'],-0.0
155,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
156,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
157,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
158,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
159,"['assistant', 'Ċ', '<']",['assistant'],-0.0
160,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
161,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
162,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
163,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
164,"['assistant', 'Ċ', '<']",['assistant'],-0.0
165,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
166,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
167,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
168,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
169,"['assistant', 'Ċ', '<']",['assistant'],-0.0
170,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
171,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
172,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
173,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
174,"['assistant', 'Ċ', '<']",['assistant'],-0.0
175,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
176,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
177,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
178,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
179,"['assistant', 'Ċ', '<']",['assistant'],-0.0
180,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
181,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
182,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
183,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
184,"['assistant', 'Ċ', '<']",['assistant'],-0.0
185,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
186,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
187,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
188,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
189,"['assistant', 'Ċ', '<']",['assistant'],-0.0
190,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
191,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
192,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
193,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
194,"['assistant', 'Ċ', '<']",['assistant'],-0.0
195,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
196,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
197,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
198,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
199,"['assistant', 'Ċ', '<']",['assistant'],-0.0
200,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
201,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
202,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
203,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
204,"['assistant', 'Ċ', '<']",['assistant'],-0.0
205,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
206,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
207,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
208,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
209,"['assistant', 'Ċ', '<']",['assistant'],-0.0
210,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
211,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
212,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
213,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
214,"['assistant', 'Ċ', '<']",['assistant'],-0.0
215,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
216,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
217,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
218,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
219,"['assistant', 'Ċ', '<']",['assistant'],-0.0
220,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
221,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
222,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
223,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
224,"['assistant', 'Ċ', '<']",['assistant'],-0.0
225,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
226,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
227,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
228,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
229,"['assistant', 'Ċ', '<']",['assistant'],-0.0
230,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
231,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
232,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
233,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
234,"['assistant', 'Ċ', '<']",['assistant'],-0.0
235,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
236,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
237,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
238,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
239,"['assistant', 'Ċ', '<']",['assistant'],-0.0
240,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
241,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
242,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
243,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
244,"['assistant', 'Ċ', '<']",['assistant'],-0.0
245,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
246,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
247,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
248,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
249,"['assistant', 'Ċ', '<']",['assistant'],-0.0
250,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
251,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
252,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
253,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
254,"['assistant', 'Ċ', '<']",['assistant'],-0.0
255,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
256,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
257,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
258,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
259,"['assistant', 'Ċ', '<']",['assistant'],-0.0
260,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
261,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
262,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
263,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
264,"['assistant', 'Ċ', '<']",['assistant'],-0.0
265,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
266,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
267,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
268,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
269,"['assistant', 'Ċ', '<']",['assistant'],-0.0
270,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
271,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
272,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
273,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
274,"['assistant', 'Ċ', '<']",['assistant'],-0.0
275,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
276,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
277,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
278,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
279,"['assistant', 'Ċ', '<']",['assistant'],-0.0
280,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
281,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
282,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
283,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
284,"['assistant', 'Ċ', '<']",['assistant'],-0.0
285,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
286,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
287,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
288,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
289,"['assistant', 'Ċ', '<']",['assistant'],-0.0
290,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
291,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
292,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
293,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
294,"['assistant', 'Ċ', '<']",['assistant'],-0.0
295,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
296,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
297,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
298,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
299,"['assistant', 'Ċ', '<']",['assistant'],-0.0
300,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
301,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
302,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
303,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
304,"['assistant', 'Ċ', '<']",['assistant'],-0.0
305,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
306,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
307,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
308,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
309,"['assistant', 'Ċ', '<']",['assistant'],-0.0
310,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
311,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
312,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
313,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
314,"['assistant', 'Ċ', '<']",['assistant'],-0.0
315,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
316,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
317,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
318,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
319,"['assistant', 'Ċ', '<']",['assistant'],-0.0
320,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
321,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
322,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
323,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
324,"['assistant', 'Ċ', '<']",['assistant'],-0.0
325,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
326,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
327,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
328,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
329,"['assistant', 'Ċ', '<']",['assistant'],-0.0
330,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
331,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
332,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
333,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
334,"['assistant', 'Ċ', '<']",['assistant'],-0.0
335,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
336,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
337,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
338,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
339,"['assistant', 'Ċ', '<']",['assistant'],-0.0
340,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
341,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
342,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
343,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
344,"['assistant', 'Ċ', '<']",['assistant'],-0.0
345,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
346,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
347,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
348,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
349,"['assistant', 'Ċ', '<']",['assistant'],-0.0
350,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
351,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
352,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
353,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
354,"['assistant', 'Ċ', '<']",['assistant'],-0.0
355,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
